pc: 0.6500000000000001   ps: 0.10666666666666662   ph: 0.10666666666666662   pp: 0.1366666666666666   p_coef: 0.0015   add(add(0.686, X1), sqrt(X1))   length: 6   depth: 2   mae: 0.02323501686824489
pc: 0.5   ps: 0.15   ph: 0.15   pp: 0.19999999999999998   p_coef: 0.001   add(add(0.690, X1), sqrt(X1))   length: 6   depth: 2   mae: 0.0232351209048511
pc: 0.7500000000000002   ps: 0.06666666666666658   ph: 0.06666666666666658   pp: 0.1166666666666666   p_coef: 0.0015   add(sqrt(X1), add(0.690, X1))   length: 6   depth: 2   mae: 0.02323653791931916
pc: 0.7500000000000002   ps: 0.06999999999999991   ph: 0.06999999999999991   pp: 0.10999999999999997   p_coef: 0.0015   add(X0, add(0.911, X1))   length: 5   depth: 2   mae: 0.02324660398211002
pc: 0.6000000000000001   ps: 0.12666666666666662   ph: 0.12666666666666662   pp: 0.1466666666666667   p_coef: 0.0015   add(add(0.690, X1), sqrt(X1))   length: 6   depth: 2   mae: 0.023249665095672688
pc: 0.5   ps: 0.1433333333333333   ph: 0.1433333333333333   pp: 0.21333333333333337   p_coef: 0.001   sub(add(X1, X1), -0.926)   length: 5   depth: 2   mae: 0.023252257478516163
pc: 0.6500000000000001   ps: 0.11666666666666663   ph: 0.11666666666666663   pp: 0.1166666666666666   p_coef: 0.001   sub(sub(X1, -0.991), mul(X1, -0.818))   length: 7   depth: 2   mae: 0.023270410752474883
pc: 0.8500000000000003   ps: 0.04666666666666656   ph: 0.04666666666666656   pp: 0.05666666666666658   p_coef: 0.0015   add(sqrt(X1), add(0.690, X1))   length: 6   depth: 2   mae: 0.02330880964184809
pc: 0.8000000000000003   ps: 0.04666666666666656   ph: 0.04666666666666656   pp: 0.10666666666666663   p_coef: 0.0005   add(add(X1, 0.685), sqrt(X1))   length: 6   depth: 2   mae: 0.023334175998193676
pc: 0.9000000000000004   ps: 0.013333333333333225   ph: 0.013333333333333225   pp: 0.0733333333333332   p_coef: 0.001   add(div(X1, 0.537), 0.979)   length: 5   depth: 2   mae: 0.02339266146974163
pc: 0.7500000000000002   ps: 0.08333333333333326   ph: 0.08333333333333326   pp: 0.08333333333333326   p_coef: 0.001   add(0.908, add(X1, X5))   length: 5   depth: 2   mae: 0.023413907407407317
pc: 0.7500000000000002   ps: 0.05999999999999991   ph: 0.05999999999999991   pp: 0.12999999999999995   p_coef: 0.0005   add(X1, add(0.907, X5))   length: 5   depth: 2   mae: 0.023413907407407356
pc: 0.9000000000000004   ps: 0.02333333333333322   ph: 0.02333333333333322   pp: 0.053333333333333205   p_coef: 0.0015   add(sub(X1, -0.906), X5)   length: 5   depth: 2   mae: 0.023413907407407356
pc: 0.5   ps: 0.16666666666666666   ph: 0.16666666666666666   pp: 0.1666666666666667   p_coef: 0.001   add(add(X5, 0.907), X1)   length: 5   depth: 2   mae: 0.02341390740740738
pc: 0.7000000000000002   ps: 0.09666666666666661   ph: 0.09666666666666661   pp: 0.10666666666666659   p_coef: 0.0005   add(add(X5, 0.569), add(0.338, X1))   length: 7   depth: 2   mae: 0.02341390740740738
pc: 0.7500000000000002   ps: 0.05999999999999991   ph: 0.05999999999999991   pp: 0.12999999999999995   p_coef: 0.0015   add(add(X5, 0.908), X1)   length: 5   depth: 2   mae: 0.02341390740740738
pc: 0.8500000000000003   ps: 0.04666666666666656   ph: 0.04666666666666656   pp: 0.05666666666666658   p_coef: 0.0005   add(add(0.907, X5), X1)   length: 5   depth: 2   mae: 0.02341390740740738
pc: 0.5   ps: 0.16666666666666666   ph: 0.16666666666666666   pp: 0.1666666666666667   p_coef: 0.0005   add(0.888, div(X1, 0.478))   length: 5   depth: 2   mae: 0.02341751000232606
pc: 0.6000000000000001   ps: 0.11999999999999995   ph: 0.11999999999999995   pp: 0.16000000000000003   p_coef: 0.0005   add(add(X1, X1), 0.927)   length: 5   depth: 2   mae: 0.023444222192643884
pc: 0.7500000000000002   ps: 0.07666666666666659   ph: 0.07666666666666659   pp: 0.09666666666666658   p_coef: 0.0005   add(div(X1, 0.531), 0.965)   length: 5   depth: 2   mae: 0.023447816848468705
pc: 0.7500000000000002   ps: 0.07333333333333325   ph: 0.07333333333333325   pp: 0.10333333333333328   p_coef: 0.001   add(div(X0, 0.474), 0.866)   length: 5   depth: 2   mae: 0.02346075603696402
pc: 0.55   ps: 0.13999999999999999   ph: 0.13999999999999999   pp: 0.16999999999999996   p_coef: 0.001   add(div(X1, 0.559), div(X1, X1))   length: 7   depth: 2   mae: 0.023492866974846937
pc: 0.8000000000000003   ps: 0.0499999999999999   ph: 0.0499999999999999   pp: 0.09999999999999992   p_coef: 0.001   sqrt(div(X0, 0.138))   length: 4   depth: 2   mae: 0.0234937001659373
pc: 0.7000000000000002   ps: 0.07666666666666659   ph: 0.07666666666666659   pp: 0.1466666666666666   p_coef: 0.0015   add(sqrt(-0.571), div(X0, 0.422))   length: 6   depth: 2   mae: 0.02353474470042685
pc: 0.6000000000000001   ps: 0.11666666666666663   ph: 0.11666666666666663   pp: 0.16666666666666663   p_coef: 0.001   sub(sqrt(X2), sub(-0.881, X2))   length: 6   depth: 2   mae: 0.023596487600500347
pc: 0.7500000000000002   ps: 0.08333333333333326   ph: 0.08333333333333326   pp: 0.08333333333333326   p_coef: 0.0005   add(sqrt(X1), add(0.684, X1))   length: 6   depth: 2   mae: 0.023600145742363403
pc: 0.55   ps: 0.1333333333333333   ph: 0.1333333333333333   pp: 0.18333333333333335   p_coef: 0.001   add(add(X2, X5), sub(X5, -0.597))   length: 7   depth: 2   mae: 0.023607337738109982
pc: 0.5   ps: 0.14666666666666664   ph: 0.14666666666666664   pp: 0.20666666666666675   p_coef: 0.0015   add(0.903, add(X5, X1))   length: 5   depth: 2   mae: 0.023608719263956666
pc: 0.6500000000000001   ps: 0.09666666666666661   ph: 0.09666666666666661   pp: 0.15666666666666662   p_coef: 0.0015   div(add(X1, 0.458), sqrt(0.250))   length: 6   depth: 2   mae: 0.023620156382076065
pc: 0.5   ps: 0.16666666666666666   ph: 0.16666666666666666   pp: 0.1666666666666667   p_coef: 0.0015   add(X1, add(X1, 0.928))   length: 5   depth: 2   mae: 0.02362287416957169
pc: 0.8500000000000003   ps: 0.03666666666666655   ph: 0.03666666666666655   pp: 0.0766666666666666   p_coef: 0.0005   add(div(X2, 0.416), sqrt(X3))   length: 6   depth: 2   mae: 0.023627655652357235
pc: 0.8000000000000003   ps: 0.05999999999999991   ph: 0.05999999999999991   pp: 0.0799999999999999   p_coef: 0.0005   add(add(X1, X1), sqrt(0.861))   length: 6   depth: 2   mae: 0.023629289740123755
pc: 0.7500000000000002   ps: 0.06333333333333324   ph: 0.06333333333333324   pp: 0.1233333333333333   p_coef: 0.001   add(sqrt(X1), add(0.693, X1))   length: 6   depth: 2   mae: 0.023634782315844347
pc: 0.5   ps: 0.14666666666666664   ph: 0.14666666666666664   pp: 0.20666666666666675   p_coef: 0.001   add(add(X1, 0.684), sqrt(X1))   length: 6   depth: 2   mae: 0.02364271243745202
pc: 0.7000000000000002   ps: 0.07666666666666659   ph: 0.07666666666666659   pp: 0.1466666666666666   p_coef: 0.0005   add(0.780, div(X0, 0.429))   length: 5   depth: 2   mae: 0.023642937047744537
pc: 0.5   ps: 0.15333333333333332   ph: 0.15333333333333332   pp: 0.19333333333333336   p_coef: 0.0015   add(sqrt(0.865), div(X1, 0.505))   length: 6   depth: 2   mae: 0.023668310204713223
pc: 0.5   ps: 0.16   ph: 0.16   pp: 0.17999999999999997   p_coef: 0.0005   add(add(X1, 0.031), add(X1, 0.894))   length: 7   depth: 2   mae: 0.023702447049761342
pc: 0.7000000000000002   ps: 0.08333333333333326   ph: 0.08333333333333326   pp: 0.1333333333333333   p_coef: 0.0015   add(add(X1, X1), sqrt(0.854))   length: 6   depth: 2   mae: 0.023705261099530934
pc: 0.6000000000000001   ps: 0.12999999999999998   ph: 0.12999999999999998   pp: 0.13999999999999993   p_coef: 0.001   add(add(0.462, X1), add(0.462, X1))   length: 7   depth: 2   mae: 0.023707326537578975
pc: 0.5   ps: 0.16   ph: 0.16   pp: 0.17999999999999997   p_coef: 0.0015   add(X1, add(0.924, X1))   length: 5   depth: 2   mae: 0.023707412481716646
pc: 0.8000000000000003   ps: 0.05333333333333323   ph: 0.05333333333333323   pp: 0.09333333333333327   p_coef: 0.001   add(add(X1, X1), sqrt(0.853))   length: 6   depth: 2   mae: 0.023708438120095442
pc: 0.5   ps: 0.15   ph: 0.15   pp: 0.19999999999999998   p_coef: 0.0005   add(sqrt(X1), add(0.694, X1))   length: 6   depth: 2   mae: 0.023709097129171033
pc: 0.6500000000000001   ps: 0.10999999999999995   ph: 0.10999999999999995   pp: 0.13   p_coef: 0.001   add(sqrt(0.853), add(X1, X1))   length: 6   depth: 2   mae: 0.023712419925047773
